season,cccaa_season,team,team_id,date,location,opponent,result,team_score,opp_score,game_id,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2016,2015-16,American River,americanriver,Feb 9,home,Solano,L,6,5,20160209_ejev,12,47,34,5.0,9.0,2.0,0.0,0.0,4.0,1.0,1.0,8.0,8.0,11,2.0,3.0,0.0,2,0.0,11.0,7.0,1.571,0.265,0.404,0.382,0.786,99.0,0.346,0.263,0.0,0.17,0.17,0.0,1.0
2016,2015-16,American River,americanriver,Jan 28,home,West Valley,L,7,6,20160128_xe5z,9,42,34,6.0,10.0,2.0,0.0,0.0,6.0,2.0,1.0,5.0,9.0,12,1.0,2.0,0.0,2,0.0,9.0,8.0,1.125,0.294,0.381,0.412,0.793,100.0,0.4,0.375,0.0,0.214,0.119,0.095,0.556
2016,2015-16,American River,americanriver,Jan 30,home,West Valley,L,12,11,20160130_5703,13,53,47,11.0,13.0,2.0,1.0,0.0,10.0,5.0,0.0,3.0,12.0,17,1.0,0.0,2.0,3,0.0,9.0,12.0,0.75,0.277,0.321,0.426,0.747,94.0,0.351,0.647,0.0,0.226,0.057,0.169,0.25
2016,2015-16,American River,americanriver,Mar 10,home,Cosumnes River,W,10,3,20160310_dqq8,12,46,37,10.0,17.0,3.0,0.0,0.0,10.0,0.0,0.0,4.0,6.0,20,1.0,3.0,1.0,3,1.0,12.0,5.0,2.4,0.459,0.478,0.622,1.1,138.0,0.531,0.455,0.0,0.13,0.087,0.043,0.667
2016,2015-16,American River,americanriver,Mar 15,home,Cosumnes River,L,5,3,20160315_lewe,9,37,33,3.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,11.0,7,0.0,1.0,0.0,0,0.0,11.0,4.0,2.75,0.212,0.27,0.212,0.482,61.0,0.318,0.3,0.0,0.297,0.081,0.216,0.273
2016,2015-16,American River,americanriver,Mar 17,home,Cosumnes River,W,5,4,20160317_gc7g,10,51,40,5.0,12.0,2.0,0.0,0.0,5.0,1.0,1.0,7.0,6.0,14,3.0,1.0,0.0,2,2.0,18.0,4.0,4.5,0.3,0.431,0.4,0.831,104.0,0.353,0.227,0.0,0.118,0.137,-0.019,1.167
2016,2015-16,American River,americanriver,Mar 19,home,Diablo Valley,W,4,1,20160319_w2f9,9,35,29,4.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,8,0.0,2.0,0.0,0,2.0,13.0,7.0,1.857,0.276,0.343,0.276,0.619,78.0,0.286,0.333,0.0,0.029,0.114,-0.085,4.0
2016,2015-16,American River,americanriver,Mar 22,home,Diablo Valley,L,10,5,20160322_9cf6,11,42,34,5.0,10.0,4.0,0.0,0.0,5.0,1.0,0.0,4.0,6.0,14,2.0,2.0,0.0,4,0.0,11.0,9.0,1.222,0.294,0.381,0.529,0.91,114.0,0.357,0.312,0.0,0.143,0.095,0.048,0.667
2016,2015-16,American River,americanriver,Mar 24,home,Diablo Valley,L,10,4,20160324_mth1,14,41,35,4.0,9.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,9.0,12,4.0,1.0,0.0,3,1.0,8.0,9.0,0.889,0.257,0.341,0.429,0.77,97.0,0.346,0.286,0.0,0.22,0.024,0.196,0.111
2016,2015-16,American River,americanriver,Mar 26,home,Santa Rosa,L,4,3,20160326_9j6v,10,48,38,3.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,5.0,6,2.0,2.0,0.0,0,3.0,15.0,13.0,1.154,0.158,0.292,0.158,0.45,57.0,0.182,0.214,0.0,0.104,0.125,-0.021,1.2
2016,2015-16,American River,americanriver,Mar 29,home,Santa Rosa,L,5,0,20160329_jk0w,10,34,33,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,10,0.0,0.0,0.0,1,2.0,8.0,10.0,0.8,0.242,0.265,0.333,0.598,75.0,0.308,0.0,0.0,0.206,0.029,0.177,0.143
2016,2015-16,American River,americanriver,Mar 3,home,Sierra,W,8,4,20160303_xyqz,11,43,38,8.0,12.0,2.0,0.0,0.0,5.0,0.0,1.0,3.0,8.0,14,0.0,2.0,0.0,2,0.0,10.0,7.0,1.429,0.316,0.349,0.421,0.77,97.0,0.4,0.533,0.0,0.186,0.07,0.116,0.375
