date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Mar 8,home,San Bernardino Valley,L,16-4,16.0,4.0,12,win,20220308_uzif,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Mar 10,home,Mt. San Jacinto,L,13-1,13.0,1.0,12,win,20220310_jw9w,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Mar 12,home,Chaffey,L,25-2,25.0,2.0,23,win,20220312_2q7l,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Mar 15,home,Barstow,W,9-1,9.0,1.0,8,win,20220315_1bdh,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Mar 17,home,Barstow,L,11-3,11.0,3.0,8,win,20220317_6aab,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Mar 19,home,Barstow,W,14-0,14.0,0.0,14,win,,,,,,,,,,,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Mar 22,home,Pasadena City,L,16-0,16.0,0.0,16,win,20220322_keiv,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Mar 24,home,Pasadena City,L,15-9,15.0,9.0,6,win,20220324_p27x,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Mar 29,home,Cerro Coso,L,8-3,8.0,3.0,5,win,20220329_rw1r,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
Mar 31,home,Cerro Coso,L,8-3,8.0,3.0,5,win,20220331_nq2x,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Victor Valley,victorvalley,stevenmurrayssru,Steven Murray
